A4L,2021-07-19,17.4,6305759,17999999
ALB,2021-07-19,33.8,1278803,4273126
ALCM,2021-07-19,9.2,1776504,17952959
ATER,2021-07-19,2.48,52483840,85110091
BREF,2021-07-19,2.15,25764018,34641925
CCB,2021-07-19,1,21181101,127129970
CHIM,2021-07-19,0.848,53080895,239646267
DUH,2021-07-19,7.4,12417152,18736099
EAC,2021-07-19,1.08,26308349,36629925
ELHM,2021-07-19,0.835,6618810,25108410
EMKA,2021-07-19,3.26,4898869,21699726
EUBG,2021-07-19,2.5,57535412,260500000
FIB,2021-07-19,1.75,16500000,149084800
FZLS,2021-07-19,19.2,213250,515000
GAMZ,2021-07-19,3.8,3055713,5347798
GR6,2021-07-19,1.48,43788135,243608710
HCEN,2021-07-19,32.2,438192,735910
HES,2021-07-19,5.8,3673622,18193752
HIKA,2021-07-19,2.9,8981736,15864544
HNVK,2021-07-19,18.4,1807872,5610437
HRZ,2021-07-19,2.66,21599000,56010597
HSI,2021-07-19,2.6,16532960,36852997
HSOF,2021-07-19,3.6,6666906,9940391
HVAR,2021-07-19,40.2,1982101,6485897
IDH,2021-07-19,2.24,3392342,9980925
IHB,2021-07-19,1.27,29025755,107400643
KBG,2021-07-19,8.25,2350691,13168614
LAV,2021-07-19,3.8,1211957,9919410
MONB,2021-07-19,6,6788804,39000000
MSH,2021-07-19,7.55,9071209,39445200
NEOH,2021-07-19,24,629151,2654358
ODES,2021-07-19,115,113619,586642
PET,2021-07-19,0.23,2438860,27312403
SFA,2021-07-19,3.48,46695735,134797899
SFT,2021-07-19,5.1,8113764,34276050
SGH,2021-07-19,0.494,31431825,59360518
SKEH,2021-07-19,22.4,843144,2309561
SNRG,2021-07-19,0.645,7915991,18358849
SPH,2021-07-19,7.25,12372374,21000000
T57,2021-07-19,3.82,5745245,24200000
TBS,2021-07-19,13.6,2405223,12500000
TOPL,2021-07-19,2.2,512539,5416829
TXIM,2021-07-19,3,11136790,27995036
YGAG,2021-07-19,5,203739,1003904
ZHBG,2021-07-19,0.147,39151614,195660287
ZLP,2021-07-19,2.46,481434,6493577
A4L,2021-07-20,17.8,6305759,17999999
ALB,2021-07-20,33,1278803,4273126
ALCM,2021-07-20,9.2,1776504,17952959
ATER,2021-07-20,2.48,52483840,85110091
BREF,2021-07-20,2.15,25764018,34641925
CCB,2021-07-20,1,21181101,127129970
CHIM,2021-07-20,0.85,53080895,239646267
DUH,2021-07-20,7.24,12417152,18736099
EAC,2021-07-20,1.07,26308349,36629925
ELHM,2021-07-20,0.835,6618810,25108410
EMKA,2021-07-20,3.26,4898869,21699726
EUBG,2021-07-20,2.56,59882408,260500000
FIB,2021-07-20,1.72,16500000,149084800
FZLS,2021-07-20,21.8,213250,515000
GAMZ,2021-07-20,3.8,3055713,5347798
GR6,2021-07-20,1.46,43788135,243608710
HCEN,2021-07-20,33,438192,735910
HES,2021-07-20,5.8,3673622,18193752
HIKA,2021-07-20,2.76,8981736,15864544
HNVK,2021-07-20,18.4,1792312,5610437
HRZ,2021-07-20,2.66,21698400,56010597
HSI,2021-07-20,2.6,16532960,36852997
HSOF,2021-07-20,3.6,6666906,9940391
HVAR,2021-07-20,40.2,1982101,6485897
IDH,2021-07-20,2.24,3742342,9980925
IHB,2021-07-20,1.27,29025755,107400643
KBG,2021-07-20,8.25,2350691,13168614
LAV,2021-07-20,3.8,1211957,9919410
MONB,2021-07-20,6,6788804,39000000
MSH,2021-07-20,7.6,9071209,39445200
